0,1435042800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,3,203.0
1,1434178800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,0,195.0
2,1434956400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,0,200.0
3,1434092400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,5,195.0
4,1434870000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,1,200.0
5,1434006000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,5,190.0
6,1434783600.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,5,199.0
7,1433919600.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,3,185.0
8,1434697200.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-3,194.0
9,1433833200.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,3,182.0
10,1434610800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-1,197.0
11,1433746800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,0,179.0
12,1434524400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,0,198.0
13,1433660400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,1,179.0
14,1434438000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-2,198.0
15,1433574000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,3,178.0
16,1434351600.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-1,200.0
17,1433487600.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-1,175.0
18,1434265200.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,6,201.0
19,1433401200.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,2,176.0
20,1433314800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,6,174.0
21,1432450800.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-3,204.0
22,1433228400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,7,168.0
23,1432364400.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,0,207.0
24,1433142000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-4,161.0
25,1432278000.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,7,207.0
26,1433055600.0,Food and Drink,1319439600.0,160.0,Lobster,107.0,No,-3,165.0
